the            : 4123
and            : 2180
of             : 2062
to             : 1902
a              : 1626
in             : 1092
I              : 1011
was            : 871
it             : 803
s              : 773
you            : 732
that           : 630
he             : 595
his            : 561
on             : 518
with           : 503
The            : 475
as             : 474
for            : 466
had            : 435
at             : 416
t              : 415
they           : 359
their          : 342
one            : 335
be             : 333
this           : 301
which          : 297
we             : 296
were           : 294
Diggory        : 271
have           : 269
up             : 266
out            : 259
all            : 259
by             : 256
what           : 249
but            : 244
said           : 244
is             : 232
been           : 220
when           : 216
him            : 214
ll             : 212
Jack           : 212
or             : 211
who            : 206
an             : 204
them           : 203
from           : 200
not            : 191
there          : 185
about          : 183
into           : 172
some           : 170
Vance          : 167
down           : 166
if             : 164
other          : 162
two            : 156
do             : 153
answered       : 150
time           : 149
It             : 142
me             : 141
d              : 137
over           : 135
Noaks          : 134
any            : 134
boys           : 134
so             : 133
are            : 132
can            : 132
no             : 130
here           : 129
Mugford        : 126
say            : 125
Well           : 124
go             : 123
would          : 123
Acton          : 122
then           : 116
don            : 114
more           : 114
think          : 111
door           : 110
room           : 109
school         : 109
old            : 109
back           : 104
know           : 104
see            : 104
before         : 102
Thurston       : 100
He             : 99
Mr             : 99
after          : 98
only           : 98
just           : 98
three          : 97
There          : 96
moment         : 95
going          : 95
What           : 95
good           : 93
ve             : 93
your           : 92
like           : 90
fellows        : 89
my             : 89
must           : 89
should         : 89
being          : 88
got            : 86
did            : 85
re             : 85
You            : 85
came           : 85
Oh             : 84
very           : 84
cried          : 84
us             : 82
work           : 80
m              : 79
Alliance       : 79
come           : 79
than           : 77
put            : 77
made           : 74
Triple         : 74
They           : 73
tell           : 73
Allingford     : 73
get            : 73
first          : 73
place          : 73
Ronleigh       : 70
off            : 69
while          : 68
now            : 68
little         : 68
another        : 67
boy            : 67
No             : 66
Fletcher       : 66
way            : 65
every          : 65
round          : 65
thing          : 64
right          : 64
head           : 64
last           : 64
Gutenberg      : 63
upon           : 63
seemed         : 63
Project        : 62
through        : 62
A              : 61
well           : 60
Rats           : 59
Look           : 59
half           : 58
make           : 58
Why            : 58
something      : 58
those          : 58
let            : 58
We             : 56
night          : 56
friends        : 55
away           : 55
man            : 55
could          : 54
will           : 54
soon           : 54
morning        : 54
end            : 53
such           : 53
Yes            : 53
rather         : 53
our            : 53
take           : 53
thought        : 53
big            : 53
day            : 52
captain        : 52
though         : 52
began          : 52
If             : 51
asked          : 51
shall          : 51
young          : 51
new            : 51
turned         : 51
always         : 51
continued      : 50
small          : 50
Blake          : 50
again          : 50
latter         : 50
exclaimed      : 49
how            : 49
master         : 49
face           : 49
however        : 49
once           : 49
But            : 48
tm             : 48
Oaks           : 48
might          : 47
Gull           : 47
returned       : 47
paper          : 47
row            : 47
play           : 46
happened       : 46
went           : 46
done           : 46
open           : 46
anything       : 46
term           : 45
under          : 45
look           : 45
At             : 45
never          : 45
feet           : 45
next           : 44
found          : 44
side           : 44
give           : 44
find           : 44
called         : 43
having         : 43
match          : 43
field          : 43
may            : 43
long           : 42
As             : 42
ofthe          : 42
course         : 42
still          : 42
Hullo          : 42
hand           : 41
without        : 41
much           : 41
part           : 41
ground         : 41
Now            : 41
same           : 40
house          : 40
themselves     : 40
silence        : 40
told           : 40
keep           : 40
own            : 40
study          : 39
left           : 39
matter         : 39
whole          : 39
evening        : 39
where          : 39
stood          : 39
top            : 38
This           : 38
himself        : 38
has            : 38
playground     : 38
didn           : 37
mean           : 37
against        : 37
home           : 37
prefects       : 37
until          : 37
too            : 36
gave           : 36
want           : 36
shed           : 36
took           : 36
doing          : 36
Philistines    : 35
won            : 35
wall           : 35
things         : 35
passage        : 35
mind           : 35
turning        : 35
caused         : 35
length         : 34
great          : 34
few            : 34
following      : 34
ever           : 34
meeting        : 34
heard          : 34
saw            : 34
box            : 34
chap           : 33
suddenly       : 33
each           : 33
because        : 33
coming         : 33
both           : 33
E              : 32
later          : 32
In             : 32
hear           : 32
between        : 32
added          : 32
voice          : 32
certain        : 32
along          : 32
manner         : 32
Form           : 31
better         : 31
Then           : 31
short          : 31
THE            : 31
seen           : 31
Grundy         : 31
Come           : 31
lot            : 31
these          : 31
enough         : 31
tea            : 30
That           : 30
many           : 30
why            : 30
looking        : 30
doctor         : 30
followed       : 30
together       : 30
table          : 30
gone           : 29
All            : 29
across         : 29
hands          : 29
set            : 29
sir            : 29
football       : 29
forward        : 28
game           : 28
notice         : 28
Carton         : 28
full           : 28
fellow         : 28
Grice          : 28
further        : 27
Hawley         : 27
afternoon      : 27
making         : 27
Welsby         : 27
Browse         : 27
companions     : 27
passed         : 27
sort           : 27
chaps          : 26
speaker        : 26
letter         : 26
works          : 26
note           : 26
even           : 26
most           : 26
turn           : 25
ball           : 25
hardly         : 25
far            : 25
yet            : 25
House          : 25
jolly          : 25
close          : 25
number         : 25
nearly         : 25
standing       : 25
Birches        : 25
behind         : 25
remember       : 24
instead        : 24
So             : 24
remarked       : 24
its            : 24
nothing        : 24
taken          : 24
either         : 24
show           : 24
cricket        : 24
CHAPTER        : 24
prefect        : 24
Sixth          : 24
members        : 24
name           : 24
leave          : 23
sure           : 23
form           : 23
answer         : 23
certainly      : 23
looked         : 23
excitement     : 23
wouldn         : 23
interrupted    : 23
money          : 23
given          : 23
ought          : 23
already        : 23
bed            : 23
fresh          : 23
story          : 23
desk           : 23
order          : 22
state          : 22
late           : 22
Maxton         : 22
party          : 22
brought        : 22
key            : 22
spoke          : 22
received       : 22
suppose        : 22
hour           : 22
ran            : 22
care           : 22
bit            : 22
watch          : 21
business       : 21
stand          : 21
word           : 21
whispered      : 21
sharp          : 21
Diggy          : 21
four           : 21
terms          : 21
Who            : 21
bell           : 21
present        : 21
fact           : 21
corner         : 21
men            : 21
Fourth         : 21
knife          : 21
days           : 21
Thirsty        : 21
One            : 21
book           : 21
idea           : 21
road           : 21
towards        : 21
And            : 20
attempt        : 20
stop           : 20
pavilion       : 20
sent           : 20
events         : 20
read           : 20
Foundation     : 20
words          : 20
entered        : 20
crowd          : 20
supper         : 20
path           : 20
believe        : 20
felt           : 20
used           : 20
wish           : 20
pay            : 20
cause          : 20
wonder         : 20
run            : 20
taking         : 19
team           : 19
water          : 19
Here           : 19
Of             : 19
former         : 19
her            : 19
reason         : 19
inthe          : 19
